rep,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
5,100,0.15,groupembodied,0.06622435453077374,0.23960059848913126,-0.40524526099999997,0.5432426309999997
5,100,0.15,pre_score_z,0.40616730459415,0.11700693715579433,0.17586706725000004,0.64225760425
5,100,0.4,Intercept,-0.7261209874591,0.6874758474295899,-2.1260051525,0.6421657502499989
5,100,0.4,groupembodied,0.7408380208409563,0.3433807124601194,0.0613965933,1.4119463374999999
5,100,0.4,pre_score_z,0.21433087753896773,0.12735941512744087,-0.031924121475,0.46565075349999996
5,100,0.87,Intercept,-0.3099994554031255,0.4903096406122045,-1.3184144775,0.627911471999999
5,100,0.87,groupembodied,0.791118348605535,0.3011346572941814,0.19917859275000002,1.395882165
5,100,0.87,pre_score_z,0.19431530092043,0.14056242688322673,-0.07694144345,0.473481331
5,100,1.39,Intercept,-0.9580485631135854,0.573304473848526,-2.09542831,0.17812853624999886
5,100,1.39,groupembodied,1.45876229945875,0.29704096790658213,0.87297206375,2.0289511974999987
5,100,1.39,pre_score_z,0.389982127783125,0.12057247335528519,0.15843209525000002,0.6331556162499997
5,150,0.15,Intercept,-0.4631155210733114,0.46213291651233995,-1.3680332675,0.4549544379999996
5,150,0.15,groupembodied,0.11358257144373737,0.25468416367317337,-0.40155228849999997,0.61506839875
5,150,0.15,pre_score_z,0.36411177289585,0.11022995817701056,0.15124426824999998,0.5818496327499999
5,150,0.4,Intercept,-0.6935489154007862,0.290081134049138,-1.2715330175000001,-0.12536628025000007
5,150,0.4,groupembodied,0.7198073764816875,0.23961242940320532,0.24349009625,1.1912287599999998
5,150,0.4,pre_score_z,0.419639030720625,0.10665216771381501,0.21281303275000002,0.6341867792499999
5,150,0.87,Intercept,0.6062873067827005,0.4077048516106572,-0.19913830999999996,1.4176295825
5,150,0.87,groupembodied,0.5726955198877363,0.23949200539864696,0.11037349275,1.0366546649999997
5,150,0.87,pre_score_z,0.25681971233763,0.10574535198511567,0.05506137910000001,0.46662231024999984
5,150,1.39,Intercept,0.2267264339923487,0.4923294071892234,-0.7608622125,1.194346854999999
5,150,1.39,groupembodied,1.218786131556625,0.2743764605055993,0.665726915,1.7521944099999995
