pid,item_id,group,pre_score_z,correct
P024,22,control,0.8454927452989061,0
P024,23,control,0.8454927452989061,0
P024,28,control,0.8454927452989061,0
P024,17,control,0.8454927452989061,0
P024,1,control,0.8454927452989061,1
P024,26,control,0.8454927452989061,1
P024,25,control,0.8454927452989061,0
P024,19,control,0.8454927452989061,0
P025,22,embodied,-0.12372209717721992,1
P025,23,embodied,-0.12372209717721992,1
P025,28,embodied,-0.12372209717721992,0
P025,17,embodied,-0.12372209717721992,0
P025,1,embodied,-0.12372209717721992,1
P025,26,embodied,-0.12372209717721992,1
P025,25,embodied,-0.12372209717721992,1
P025,19,embodied,-0.12372209717721992,0
P026,22,embodied,2.299315009013095,1
P026,23,embodied,2.299315009013095,1
P026,28,embodied,2.299315009013095,0
P026,17,embodied,2.299315009013095,0
P026,1,embodied,2.299315009013095,0
P026,26,embodied,2.299315009013095,1
P026,25,embodied,2.299315009013095,1
P026,19,embodied,2.299315009013095,1
P028,22,embodied,3.268529851489221,1
P028,23,embodied,3.268529851489221,1
P028,28,embodied,3.268529851489221,0
P028,17,embodied,3.268529851489221,0
P028,1,embodied,3.268529851489221,1
P028,26,embodied,3.268529851489221,1
P028,25,embodied,3.268529851489221,0
P028,19,embodied,3.268529851489221,1
P030,22,embodied,1.330100166536969,0
P030,23,embodied,1.330100166536969,1
P030,28,embodied,1.330100166536969,1
P030,17,embodied,1.330100166536969,1
P030,1,embodied,1.330100166536969,1
P030,26,embodied,1.330100166536969,1
P030,25,embodied,1.330100166536969,1
P030,19,embodied,1.330100166536969,1
P029,22,embodied,0.36088532406084306,1
P029,23,embodied,0.36088532406084306,1
P029,28,embodied,0.36088532406084306,0
P029,17,embodied,0.36088532406084306,0
P029,1,embodied,0.36088532406084306,0
P029,26,embodied,0.36088532406084306,0
P029,25,embodied,0.36088532406084306,1
P029,19,embodied,0.36088532406084306,0
P027,22,embodied,-0.12372209717721992,0
P027,23,embodied,-0.12372209717721992,1
P027,28,embodied,-0.12372209717721992,1
P027,17,embodied,-0.12372209717721992,0
P027,1,embodied,-0.12372209717721992,1
P027,26,embodied,-0.12372209717721992,1
P027,25,embodied,-0.12372209717721992,0
P027,19,embodied,-0.12372209717721992,1
P032,22,embodied,-0.6083295184152829,1
P032,23,embodied,-0.6083295184152829,1
P032,28,embodied,-0.6083295184152829,0
P032,17,embodied,-0.6083295184152829,0
P032,1,embodied,-0.6083295184152829,0
P032,26,embodied,-0.6083295184152829,1
P032,25,embodied,-0.6083295184152829,0
P032,19,embodied,-0.6083295184152829,1
P033,22,embodied,-0.12372209717721992,1
P033,23,embodied,-0.12372209717721992,0
P033,28,embodied,-0.12372209717721992,0
P033,17,embodied,-0.12372209717721992,0
P033,1,embodied,-0.12372209717721992,0
P033,26,embodied,-0.12372209717721992,0
P033,25,embodied,-0.12372209717721992,0
P033,19,embodied,-0.12372209717721992,0
P034,22,embodied,-1.5775443608914088,1
P034,23,embodied,-1.5775443608914088,1
P034,28,embodied,-1.5775443608914088,0
P034,17,embodied,-1.5775443608914088,1
P034,1,embodied,-1.5775443608914088,0
P034,26,embodied,-1.5775443608914088,1
P034,25,embodied,-1.5775443608914088,1
P034,19,embodied,-1.5775443608914088,1
P036,22,control,-1.5775443608914088,0
P036,23,control,-1.5775443608914088,1
P036,28,control,-1.5775443608914088,0
P036,17,control,-1.5775443608914088,0
P036,1,control,-1.5775443608914088,0
P036,26,control,-1.5775443608914088,1
P036,25,control,-1.5775443608914088,0
P036,19,control,-1.5775443608914088,0
P041,22,control,1.814707587775032,0
P041,23,control,1.814707587775032,1
P041,28,control,1.814707587775032,0
P041,17,control,1.814707587775032,1
